Crypto,Date,Open,High,Low,Close
LTC,2020-12-21,113.15,118.49,101.56,107.08
LTC,2020-12-20,123.49,123.98,113.31,113.97
LTC,2020-12-19,107.61,124.4,105.55,123.48
LTC,2020-12-18,101.78,112.81,99.51,107.6
LTC,2020-12-17,91.37,109.78,91.04,101.54
LTC,2020-12-16,82.0,91.72,78.83,91.37
LTC,2020-12-15,81.36,84.9,80.53,81.99
LTC,2020-12-14,82.23,82.92,79.22,81.36
LTC,2020-12-13,76.94,84.24,75.68,82.24
LTC,2020-12-12,73.02,77.6,71.92,76.97
LTC,2020-12-11,75.04,75.44,70.14,73.02
LTC,2020-12-10,77.47,78.19,73.41,75.04
LTC,2020-12-09,77.78,78.31,72.42,77.58
LTC,2020-12-08,83.2,84.81,76.89,77.78
LTC,2020-12-07,82.85,86.72,81.84,83.2
LTC,2020-12-06,82.67,85.19,80.44,82.84
LTC,2020-12-05,81.62,84.42,78.64,82.67
LTC,2020-12-04,88.91,89.83,80.96,81.61
LTC,2020-12-03,89.85,91.32,85.76,88.92
LTC,2020-12-01,86.6,92.9,80.6,91.0
LTC,2020-11-30,79.83,88.13,76.77,86.6
LTC,2020-11-29,73.38,81.04,71.65,79.84
LTC,2020-11-28,68.9,74.93,68.22,73.83
LTC,2020-11-27,69.4,73.5,65.28,68.85
LTC,2020-11-26,83.72,83.72,64.75,69.15
LTC,2020-11-25,88.49,90.67,82.59,83.81
LTC,2020-11-24,87.95,93.95,86.54,88.49
LTC,2020-11-23,85.19,90.75,81.0,87.93
LTC,2020-11-22,86.21,87.9,78.16,85.34
LTC,2020-11-21,83.8,87.03,80.74,86.24
LTC,2020-11-20,81.21,85.69,80.22,83.81
LTC,2020-11-19,73.4,83.51,71.67,81.08
LTC,2020-11-18,74.55,77.11,68.54,73.5
LTC,2020-11-17,71.0,75.91,70.51,74.55
LTC,2020-11-16,61.88,72.51,61.12,70.76
LTC,2020-11-15,63.01,64.43,61.52,61.85
LTC,2020-11-14,65.71,66.26,61.82,63.01
LTC,2020-11-13,58.98,66.61,58.98,65.67
LTC,2020-11-12,59.61,60.52,57.81,58.98
LTC,2020-11-11,58.31,60.59,57.93,59.63
LTC,2020-11-10,59.32,59.62,57.14,58.3
LTC,2020-11-09,60.27,61.77,57.53,59.32
LTC,2020-11-08,59.03,62.03,58.27,60.27
LTC,2020-11-07,61.33,64.83,57.12,59.03
LTC,2020-11-06,58.49,63.11,58.49,61.46
LTC,2020-11-05,54.53,59.64,54.52,58.59
LTC,2020-11-04,53.64,55.0,51.77,54.56
LTC,2020-11-03,54.12,54.37,51.64,53.64
LTC,2020-11-02,55.99,56.8,53.17,54.12
LTC,2020-11-01,56.14,56.24,54.24,55.95
LTC,2020-10-31,54.17,56.43,53.69,56.14
LTC,2020-10-30,55.11,55.8,52.48,54.17
LTC,2020-10-29,55.72,56.55,53.51,55.07
LTC,2020-10-28,57.63,60.49,54.96,55.74
LTC,2020-10-27,56.68,59.12,56.45,57.63
LTC,2020-10-26,59.1,59.26,55.24,56.6
LTC,2020-10-25,59.32,59.97,56.58,59.09
LTC,2020-10-24,55.73,59.58,54.96,59.32
LTC,2020-10-23,54.67,56.91,53.16,55.69
LTC,2020-10-22,53.04,56.28,52.87,54.67
LTC,2020-10-21,46.98,53.33,46.77,53.04
LTC,2020-10-20,48.1,48.4,46.5,46.98
LTC,2020-10-19,47.35,48.45,46.84,48.1
